2	confusion	noun	The announcement caused a lot of confusion (bewilderment). | To avoid confusion (bewilderment), please write the children's names clearly on all their school clothes. | He looked at me in confusion (bewilderment) and did not answer the question. | Fighting had broken out and all was chaos and confusion (bewilderment).
4	regulation	noun	To comply with government hygiene regulations (adjusting), there must be a separate sink for hand washing.
5	regulation	noun	the voluntary regulation (adjusting) of the press
6	infection	noun	Vaccination is essential to protect people exposed to hepatitis B infection (contagion). | Sneezing is the most common way of spreading an infection (contagion).
10	majority	noun	The majority (mass) of people interviewed prefer TV to radio. | She was elected by a majority (mass) of 749. | Without this shift, Kerry would have had a popular majority (mass) of a million votes. | The age of majority (mass) in Britain was reduced from 21 to 18 in 1970.
14	unfairness	noun	She was outraged at the unfairness (injustice) of it all.
15	complexity	noun	I was astonished by the size and complexity (complication) of the problem. | the complexities (complication) of the system
18	foundation	noun	Respect and friendship provide a solid foundation (basis) for marriage. | The money will go to the San Francisco AIDS Foundation (basis). | The organization has grown enormously since its foundation (basis) in 1955. | This issue has shaken the foundations (basis) of French politics.
19	foundation	noun	The builders are now beginning to lay the foundations (basis) of the new school.
20	foundation	noun	Respect and friendship provide a solid foundation (basis) for marriage.
23	pervasive	noun	Her influence is all-pervasive (pervading) (= it affects everyone and everything).
24	subjective	noun	Everyone's opinion is bound to be subjective (personal).
25	subjective	noun	Everyone's opinion is bound to be subjective (personal). | Everyone's opinion is bound to be subjective (personal).
26	mundane	noun	I lead a pretty mundane (dull) existence.
29	suffering	noun	Death finally brought an end to her suffering (ache).
30	suffering	noun	The hospice aims to ease the sufferings (ache) of the dying.
36	adaptation	noun	The process of adaptation (alteration) to a new school is difficult for some children. | a screen adaptation (alteration) of Shakespeare’s ‘Macbeth’ | Adaptations (alteration) in plants occur over thousands of years.
38	intolerance	noun	a basic intolerance (low tolerance) for other people and their culture | an intolerance (low tolerance) to dairy products
41	distribution	noun	They studied the geographical distribution (dissemination) of the disease. | When are distributions (dissemination) likely to be made to creditors? | They have systems in place for marketing, sales and distribution (dissemination).
43	countermeasures	noun	countermeasures (countermeasure) to neutralize the threat of terrorism
44	mutation	noun	These cells have been affected by mutation (change).
45	mutation	noun	In Celtic languages such as Welsh, there is a process of mutation (change) affecting the beginning sound of a word, according to the word which comes before it.
48	mortality	noun	After her mother's death, she became acutely aware of her own mortality (human loss). | Mortality (human loss) from lung cancer is still increasing. | hospital mortalities (human loss) (= deaths in hospital)
50	lineages	noun	a French nobleman of ancient lineage (lineage)
51	setbacks	noun	The team suffered a major setback when their best player was injured. (reverse)
52	fermentation	noun	Sugar is converted into alcohol by a process of fermentation (ferment).
53	stimulant	noun	Coffee and tea are mild stimulants (energizer).
54	stimulant	noun	Coffee and tea are mild stimulants (energizer).
58	congestion	noun	traffic congestion (crowding) and pollution | medicine to relieve nasal congestion (crowding)
59	prescription	noun	The doctor gave me a prescription (decree) for antibiotics. | The pharmacist will make up your prescription (decree). | The prescription (decree) of drugs is a doctor's responsibility. | Both parties will be outlining their prescription (decree) for economic recovery.
62	fatigue	noun	Driver fatigue (exhaustion) was to blame for the accident.
63	fatigue	noun	Launching too many charity appeals risks bringing on compassion fatigue (exhaustion) (= a loss of the ability to feel pity for other people’s suffering). | The wing of the plane showed signs of metal fatigue (exhaustion). | soldiers in combat fatigues (exhaustion) | We were all put on cookhouse fatigues (exhaustion) for a week.
67	motivation	noun	What is the motivation (motive) behind this sudden change? | He's intelligent enough but he lacks motivation (motive). | All research proposals must be accompanied by a full motivation (motive).
68	surge	noun, verb	She felt a sudden surge of anger. | We are having trouble keeping up with the recent surge in demand. | A surge (rush) of people poured through the gates. | An electrical surge damaged the computer's disk drive.
75	psychosis	noun	the flood of chemicals that boosts your brain can overwhelm it mixing noise and signal and turning clarity into chaos leading to psychosis
76	regulations	noun	To comply with government hygiene regulations (code), there must be a separate sink for hand washing.
77	regulations	noun	the voluntary regulation of the press (code)
78	tolerance	noun	She had no tolerance for jokes of any kind. | Tolerance to alcohol decreases with age. | They were working to a tolerance of 0.0001 of a centimetre.
79	elasticity	noun	As you get older, the skin loses its natural elasticity (spring).
80	hallucination	noun	A three-legged person is an example of the kind of hallucinations (delusion) AI can produce.
81	hallucination	noun	High temperatures can cause hallucination (delusion). | Was the figure real or just a hallucination (delusion)?
83	attribution	noun	incorrect attribution (ascription) of the cause of death | The attribution (ascription) of this painting to Rembrandt has never been questioned. | the attribution (ascription) of legal responsibility
85	discourse	noun	He was hoping for some lively political discourse (talk) at the meeting. | spoken/written discourse (talk)
