0	ignorant	adjective	Never make your students feel ignorant (uninformed). | At that time I was ignorant (uninformed) of events going on elsewhere. | You're behaving like a stupid ignorant (uninformed) child!
1	arguably	adverb	He is arguably the best actor of his generation.
7	irreversible	adjective	irreversible (hopeless) brain damage (= that will not improve)
8	contagious	adjective	Scarlet fever is highly contagious (catching).
9	contagious	adjective	Scarlet fever is highly contagious (catching).
11	trivial	adjective	I know it sounds trivial (trifling), but I'm worried about it.
12	frustrating	adjective	It's frustrating (thwart) to have to wait so long.
13	permanent	adjective	She was unable to find a permanent (lasting forever) job.
16	majestic	adjective	The Rockies are majestic (awe-inspiring) in size.
17	reassemble	adjective	We had to take the table apart and reassemble (rally) it upstairs. | The class reassembled (rally) after lunch.
21	unfathomable	adjective	We are confronted with the unfathomable (unplumbed) nature of human motivation. | For some unfathomable (unplumbed) reason they built the toilet next to the kitchen.
28	controversial	adjective	A controversial (widely discussed) plan to build a new road has met with protests.
31	vital	adjective	Patience and a cool head are vital (important) for investors. | the vital (important) organs (= the brain, heart, lungs, etc.)
32	vital	adjective	Patience and a cool head are vital (important) for investors.
33	immature	adjective	immature (embryonic) behaviour
34	immature	adjective	The immature (embryonic) birds have shorter tails and brown, speckled plumage.
35	nutritious	adjective	tasty and nutritious (nourishing) meals
37	evolutionary	adjective	evolutionary theory
42	specialized	adjective	Our industry is quite specialized (involved).
46	cardiovascular	adjective	the negative ones cover a wide variety from brittle bones to cancer and cardiovascular diseases to intolerance and allergies
47	prevalent	adjective	These prejudices are particularly prevalent (common) among people living in the North.
49	significant	adjective	There are no significant (important) differences between the two groups of students. | The fact that her remarks were leaked to the media in advance is highly significant (important). | a significant (important) look
55	regional	adjective	services available at a local and regional (local) level
56	potent	adjective	That chilli sauce is pretty potent (powerful) stuff. | a potent (powerful) force
57	addictive	adjective	The game is very addictive (habit-forming).
64	unprecedented	adjective	The situation is unprecedented (hitherto unknown) in modern times.
71	dehydrated	adjective	Drink lots of water to avoid becoming dehydrated (desiring liquid).
72	dehydrated	adjective	dehydrated (desiring liquid) food like dried fruit
73	sustainable	adjective	This type of farming is simply not sustainable any more.
74	sustainable	adjective	Unfortunately, this level of output is not sustainable.
82	mediocre	adjective	I thought the play was only mediocre (ordinary).
84	dramatic	adjective	There has been a dramatic (theatrical) rise in reported crime. | They watched dramatic (theatrical) pictures of the police raid on TV. | Students will study various plays and dramatic (theatrical) texts. | He flung out his arms in a dramatic (theatrical) gesture.
89	trustworthy	adjective	Mitchell was a solid and trustworthy (reliable) man.
91	extensive	adjective	The house has extensive (big) grounds. | Extensive (big) research has been done into this disease.
93	shoddy	adjective	shoddy (second-rate) goods
94	shoddy	adjective	shoddy (second-rate) treatment
97	corrosive	adjective	the corrosive (corroding) effects of salt water | Unemployment is having a corrosive (corroding) effect on our economy.
100	conceivable	adjective	It is conceivable (possible) that I'll see her tomorrow.
101	delicate	adjective	The eye is one of the most delicate (fragile) organs of the body. | His health had always been delicate (fragile). | his delicate (fragile) hands | the delicate (fragile) mechanisms of a clock | I admired your delicate (fragile) handling of the situation. | a river scene painted in delicate (fragile) watercolours
103	galactic	adjective	A galactic year is the time the galaxy takes to rotate once completely.
105	habitable	adjective	The house should be habitable (livable) by the new year.
106	hostile	adjective	The speaker got a hostile (unfriendly) reception from the audience. | The proposals have provoked a hostile (unfriendly) response from opposition parties. | hostile (unfriendly) territory
107	hostile	adjective	hostile (unfriendly) conditions for plants to grow in | a hostile (unfriendly) takeover bid
118	unique	adjective	Each item has a unique (unusual) 6-digit code. | The preview offers a unique (unusual) opportunity to see the show without the crowds. | The koala is unique (unusual) to Australia.
122	observable	adjective	Similar trends are observable (visible) in mainland Europe.
123	hospitable	adjective	The local people are very hospitable (gracious) to strangers.
124	hospitable	adjective	a hospitable (gracious) climate
