#separator:tab
#html:true
cartoon		noun	A2	Oxford_3000 British_English specialist TV,_radio_and_news Film_and_theatre Art	a humorous drawing in a newspaper or magazine, especially one about politics or events in the news | a series of drawings inside boxes that tell a story and are often printed in newspapers | a film or TV show made by photographing a series of gradually changing drawings or models, so that they look as if they are moving | a drawing made by an artist as a preparation for a painting	a political/satirical cartoon | a ‘Peanuts’ cartoon with Charlie Brown | a Walt Disney cartoon | 						
carve		verb	C1	Oxford_5000 figurative US_English especially_British_English North_American_English_usually British_English North_American_English Art Buildings Cooking_and_eating Success	to make objects, patterns, etc. by cutting away material from a piece of wood or stone, or another hard material | to write something on a surface by cutting into it | to cut a large piece of cooked meat into smaller pieces for eating | to work hard in order to have a successful career, reputation, etc.	a carved doorway | They carved their initials on the desk. | Who's going to carve the turkey? | He succeeded in carving out a career in the media.	unable to be changed ; People should remember that our proposals aren't set in stone. ; These rules are not set in stone.			cut | | cut	[sound:cambridge_uk_carve.mp3]	[sound:cambridge_us_carve.mp3]
case		noun	A2	Oxford_3000 OPAL_written British_English North_American_English especially_British_English especially_North_American_English informal sometimes_humorous law Crime_and_punishment Law_and_justice Success	a particular situation or a situation of a particular type | the true situation | a situation that relates to a particular person or thing | a matter that is being officially investigated, especially by the police | a question to be decided in court | a set of facts or arguments that support one side in a trial, a discussion, etc. | a container or cover used to protect or store things; a container with its contents or the amount that it contains | a container with flat sides and a handle, used for carrying clothes, etc. when you are travelling | the fact of somebody having a disease or an injury; a person who has a disease or an injury | a person who needs, or is thought to need, special treatment or attention | the form of a noun, an adjective or a pronoun in some languages, that shows its relationship to another word	In some cases people have had to wait several weeks for an appointment. | If that is the case (= if the situation described is true) , we need more staff. | I cannot make an exception in your case (= for you and not for others) . | They never solved the Jones murder case. | a court case | Our lawyer didn't think we had a case (= had enough good arguments to win in a court of law) . | a jewellery case | Let me carry your case for you. | a severe case of food poisoning | He's a hopeless case. | the nominative/accusative/genitive case	used to say that one of two or more possibilities is true, but which one is truehe form of a noun, an adjective or a pronoun in some languages, that shows its relationship to another word ; the nominative/accusative/genitive case ; Latin nouns have case, number and gender. ; In Polish the verb ‘to be’ takes the instrumental case. | as the case may be : used to say that one of two or more possibilities is true, but which one is true depends on the circumstances ; There may be an announcement about this tomorrow—or not, as the case may be. | be on somebody’s case : to criticize somebody all the time ; She's always on my case about cleaning my room. | be on the case : to be dealing with a particular matter, especially a criminal investigation ; We have two agents on the case. | a case in point : a clear example of the problem, situation, etc. that is being discussed ; Many professions feel they deserve higher pay, and nurses are a case in point. | (a case of) dog eat dog : a situation in business, politics, etc. where there is a lot of competition and people are willing to harm each other in order to succeed ; I'm afraid in this line of work it's a case of dog eat dog. ; We're operating in a dog-eat-dog world. | get off my case : used to tell somebody to stop criticizing you | in any case : whatever happens or may have happened ; There's no point complaining now—we're leaving tomorrow in any case. | (just) in case (…) : because of the possibility of something happening ; You'd better take the keys in case I'm out. ; You probably won't need to call—but take my number, just in case. ; In case (= if it is true that) you’re wondering why Jo’s here—let me explain… | in case of something : if something happens ; In case of fire, ring the alarm bell. | in that case : if that happens or has happened; if that is the situation ; ‘I’ve made up my mind.’ ‘In that case, there’s no point discussing it.’ | rest your case : used to say that you do not need to say any more about something because you think that you have proved your point | rest your case : used by lawyers in court to say that they have finished presenting their case ; The prosecution rests its case.					
cash		noun	A2	Oxford_3000 informal British_English North_American_English US_English formal especially_North_American_English especially_British_English North_American_English_usually Shopping Money Jobs	money in the form of coins or notes | money in any form	How much cash do you have on you? | The museum needs to find ways of raising cash .	cash down : with immediate payment of cash ; to pay for something cash down | cash in hand : if you pay for goods and services cash in hand , you pay in cash , especially so that the person being paid can avoid paying tax on the amount ; a cash-in-hand payment of £20 | cash on delivery : a system of paying for goods when they are delivered					
casino		noun	C1	Oxford_5000 Money Games_and_toys	a public building or room where people play gambling games for money	a new hotel and casino in Las Vegas				gambling casino	[sound:cambridge_uk_casino.mp3]	[sound:cambridge_us_casino.mp3]
cast		verb	B2	Oxford_3000 literary figurative saying Film_and_theatre	to look, smile, etc. in a particular direction | to make light, a shadow, etc. appear in a particular place | to say, do or suggest something that makes people doubt something or think that somebody is less honest, good, etc. | to vote for somebody/something | to choose actors to play the different parts in a film, play, etc.; to choose an actor to play a particular role | to describe or present somebody/yourself in a particular way | to throw one end of a fishing line into a river, etc. | to throw somebody/something somewhere, especially using force | when a snake casts its skin, the skin comes off as part of a natural process | if a horse casts a shoe, the shoe comes off by accident | to shape hot liquid metal, etc. by pouring it into a hollow container (called a mould )	She cast a welcoming smile in his direction. | Someone was standing in the dark shadow cast by the light. | This latest evidence casts serious doubt on his version of events. | He refused to cast a vote for either candidate. | The play is being cast in both the US and Britain. | He cast himself as the innocent victim of a hate campaign. |  | The priceless treasures had been cast into the Nile. |  |  | a statue cast in bronze	cast/run an eye/your eyes over something : to look at or examine something quickly ; Could you just run your eyes over this report? ; I cast my eyes around the room but couldn't see any familiar faces. | cast/shed/throw light on something : to make a problem, etc. easier to understand ; Recent research has cast new light on the causes of the disease. | cast/shed/throw light on something : to make a problem, etc. easier to understand ; Recent research has thrown new light on the causes of the disease. | cast your mind back (to something) : to make yourself think about something that happened in the past ; I want you to cast your minds back to the first time you met. | cast your net wide : to consider a lot of different people, activities, possibilities, etc. when you are looking for something ; It’s worth casting your net wide when applying for your first job. | cast a spell (on somebody/something) : to use words that are thought to be magic and have the power to change or influence somebody/something | the die is cast : used to say that an event has happened or a decision has been made that cannot be changed | draw/cast lots (for something/to do something) : to use a method of choosing somebody/something that involves putting a number folded pieces of paper in a bag, one of them with a mark on it. People then take it in turns to take a piece of paper from the bag and the one who takes the paper with the mark on it is chosen. ; They drew lots for the right to go first. | throw/cast caution to the wind(s) : to stop caring about how dangerous something might be; to start taking risks ; He threw caution to the wind and dived into the water after the child.					
castle		noun	A2	Oxford_3000 saying History Buildings Games_and_toys	a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves against attack | any of the four pieces placed in the corner squares of the board at the start of the game, usually made to look like a castle	a medieval castle | 	(build) castles in the air : (to have) plans or dreams that are not likely to happen or come true ; As a child he would wander round the boatyards, building castles in the air about owning a boat one day. | a man’s home is his castle : a person’s home is a place where they can be private and safe and do as they like					
casual		adjective	B2	Oxford_5000 Clothes_and_Fashion Jobs	not formal | not showing much care or thought; seeming not to be worried; not wanting to show that something is important to you | without paying attention to detail | not permanent; not done, or doing something regularly | without deep feelings | happening by chance; doing something by chance	casual clothes (= comfortable clothes that you choose to wear in your free time) | a casual manner | At a casual glance, everything seemed normal. | casual workers/labour | a casual acquaintance | a casual encounter/meeting				chance | chance | chance | chance | chance | chance	[sound:cambridge_uk_casual.mp3]	[sound:cambridge_us_casual.mp3]
casualty		noun	C1	Oxford_5000 all_British_English North_American_English War_and_conflict Healthcare	a person who is killed or injured in war or in an accident | a person who suffers or a thing that is destroyed when something else takes place | the part of a hospital where people who need immediate treatment are taken	Our primary objective is reducing road casualties. | She became a casualty of the reduction in part-time work (= she lost her job) . | The victims were rushed to casualty.				injured | injured | injured	[sound:cambridge_uk_casualty.mp3]	[sound:cambridge_us_casualty.mp3]
cat		noun	A1	Oxford_3000 old-fashioned informal saying British_English humorous Animals Success	a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice. | a wild animal of the cat family	a tin of cat food | the big cats (= lions, tigers , etc.)	be the cat’s whiskers/pyjamas : to be the best thing, person, idea, etc. ; He thinks he's the cat's whiskers (= he has a high opinion of himself) . | be raining cats and dogs : to be raining heavily | (has the) cat got your tongue? : said to somebody, especially a child, who stays silent when expected to speak, for example after being asked a question ; What's the matter? Cat got your tongue? | curiosity killed the cat : used to tell somebody not to ask questions or try to find out about things that do not involve them | fight like cat and dog : to be always arguing with each other ; In our childhood Irina and I fought like cat and dog. | let the cat out of the bag : to tell a secret carelessly or by mistake ; I wanted it to be a surprise, but my sister let the cat out of the bag. | like a cat on a hot tin roof : very nervous ; She was like a cat on a hot tin roof before her driving test. | like a cat that’s got the cream : very pleased with yourself ; She looked like a cat that’s got the cream. She was almost purring with pleasure. | like herding cats : used to describe a very difficult task, especially one that involves organizing people ; Managing a political party is a lot like herding cats. | look like something the cat brought/dragged in : to look dirty and untidy | no room to swing a cat : when somebody says there’s no room to swing a cat , they mean that a room is very small and that there is not enough space | not have/stand a cat in hell’s chance (of doing something) : to have no chance at all | play (a game of) cat and mouse with somebody | play a cat-and-mouse game with somebody : to play a cruel game with somebody in your power by changing your behaviour very often, so that they become nervous and do not know what to expect ; He thought the police were playing some elaborate game of cat and mouse and waiting to trap him. ; Young car thieves enjoy playing cat and mouse with the police. | put/set the cat among the pigeons : to say or do something that is likely to cause trouble ; Then she told them she was dropping out of college. That really set the cat among the pigeons. | there’s more than one way to skin a cat : there are many different ways to achieve something | when the cat’s away, the mice will play : people enjoy themselves more and behave with greater freedom when the person in charge of them is not there					
