#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:16
BB<agHli?,	English Academic Vocabulary Model	English Academic Vocabulary::Oxford	arguably	adverb	/ˈɑː.ɡju.ə.bli/	used (often before a comparative or superlative adjective) when you are stating an opinion that you believe you could give reasons to support	He is arguably the best actor of his generation.			[sound:cambridge_uk_arguably.mp3]	[sound:cambridge_us_arguably.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::C1 OPAL_W Oxford_5000 Source::Oxford
bME<uLIHWS	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	uncertain	adjective	/ʌnˈsɝː.t̬ən/	not confident | feeling doubt about sth; not sure	The baby took its first uncertain steps. | They're both uncertain about what to do.	be uncertain|feel uncertain|look uncertain|seem uncertain		[sound:cambridge_uk_uncertain.mp3]	[sound:cambridge_us_uncertain.mp3]	Cambridge	Oxford	B1	Audio::Cambridge CEFR::B1 idioms Source::Oxford
EXFzJ920%[	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	infection	noun	/ɪnˈfek.ʃən/	the act or process of causing or getting a disease | an illness that is caused by bacteria or a virus and that affects one part of the body	to cause/prevent infection | an ear/a chest infection			[sound:cambridge_uk_infection.mp3]	[sound:cambridge_us_infection.mp3]	Oxford	Oxford	B2	Audio::Cambridge CEFR::B2 Oxford_3000 Source::Oxford
fS}j,tjW0i	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	destination	noun	/ˌdes.təˈneɪ.ʃən/	the place where sb or sth is going.	Our luggage was checked all the way through to our final destination (journey's end).	eventual destination|final destination|ultimate destination|favourite destination		[sound:cambridge_uk_destination.mp3]	[sound:cambridge_us_destination.mp3]	Cambridge	Oxford	B1	Audio::Cambridge CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford CEFR::B1
A+peMs_(9f	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	ignorant	adjective	/ˈɪɡ.nɚ.ənt/	not having or showing much knowledge or information about things; not educated | not having any knowledge or information about a particular thing | [disapproving, informal] with very bad manners	Never make your students feel ignorant (uninformed). | At that time I was ignorant (uninformed) of events going on elsewhere. | You're behaving like a stupid ignorant (uninformed) child!	appear ignorant|be ignorant|feel ignorant|seem ignorant	ignorance (n)	[sound:cambridge_uk_ignorant.mp3]	[sound:cambridge_us_ignorant.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::B1 Source::Oxford CEFR::C1
s{]MV,8C*M	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	reassemble	adjective	/ˌriː.əˈsem.bəl/	to fit the parts of sth together again after it has been taken apart | to meet together again as a group after a break	We had to take the table apart and reassemble (rally) it upstairs. | The class reassembled (rally) after lunch.			[sound:cambridge_uk_reassemble.mp3]	[sound:cambridge_us_reassemble.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
j[/$-?gVWM	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	exponentially	verb	/ˌek.spoʊˈnen.ʃəl.i/	[mathematics] in a way that is connected with or shown by an exponent | [formal] in a way that becomes faster and faster	These time lags are exponentially distributed. | to increase exponentially			[sound:cambridge_uk_exponentially.mp3]	[sound:cambridge_us_exponentially.mp3]	Oxford	Oxford	B1	Audio::Cambridge CEFR::B1 Source::Oxford
vT|bj/.qB7	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	regulation	noun	/ˌreɡ.jəˈleɪ.ʃən/	an official rule made by a government or some other authority	too many rules and regulations			[sound:cambridge_uk_regulation.mp3]	[sound:cambridge_us_regulation.mp3]	Oxford	Oxford	B2	Audio::Cambridge CEFR::B2 OPAL_W Oxford_3000 Source::Oxford
2907474714AB	English Academic Vocabulary Model	English Academic Vocabulary::TED YT	regulation	noun	/ˌreɡ.jəˈleɪ.ʃən/	controlling something by means of rules	the voluntary regulation of the press			[sound:cambridge_uk_regulation.mp3]	[sound:cambridge_us_regulation.mp3]	Oxford	Oxford	C1	Audio::Cambridge CEFR::B2 OPAL_W Oxford_3000 Source::Oxford CEFR::C1
cV@)y4eUu4	English Academic Vocabulary Model	English Academic Vocabulary::Oxford	confusion	noun	/kənˈfjuː.ʒən/	a state of not being certain about what is happening, what you should do, what something means, etc. | the fact of making a mistake about who somebody is or what something is | a situation in which you feel embarrassed because you do not understand something and are not sure what to do	The announcement caused a lot of confusion. | To avoid confusion, please write the children's names clearly on all their school clothes. | He looked at me in confusion and did not answer the question.			[sound:cambridge_uk_confusion.mp3]	[sound:cambridge_us_confusion.mp3]	Oxford	Oxford	B2	Audio::Cambridge CEFR::B2 Oxford_5000 Source::Oxford
